Date,Value
7/31/20,689993
7/30/20,717842
7/29/20,745966
7/28/20,690892
7/27/20,608050
7/26/20,619497
7/25/20,740460
7/24/20,696765
7/23/20,748958
7/22/20,660884
7/21/20,644972
7/20/20,550119
7/19/20,632584
7/18/20,629600
7/17/20,709099
7/16/20,671171
7/15/20,734433
7/14/20,638906
7/13/20,525851
7/12/20,601249
7/11/20,681724
7/10/20,708162
7/9/20,702636
7/8/20,706177
7/7/20,678157
7/6/20,509206
7/5/20,561108
7/4/20,661454
7/3/20,674745
7/2/20,758469
7/1/20,621031
6/30/20,625207
6/29/20,500152
6/28/20,546558
6/27/20,646111
6/26/20,631260
6/25/20,625283
6/24/20,704215
6/23/20,603576
6/22/20,475037
6/21/20,553650
6/20/20,674050
6/19/20,582343
6/18/20,669086
6/17/20,683561
6/16/20,606713
6/15/20,502951
6/14/20,541115
6/13/20,635165
6/12/20,673800
6/11/20,645485
6/10/20,644690
6/9/20,625333
6/8/20,487527
6/7/20,548424
6/6/20,643217
6/5/20,628388
6/4/20,646746
6/3/20,638403
6/2/20,623944
6/1/20,495162
5/31/20,556912
5/30/20,591013
5/29/20,617362
5/28/20,603823
5/27/20,605213
5/26/20,551378
5/25/20,458476
5/24/20,558174
5/22/20,624412
5/21/20,604523
5/20/20,581379
5/19/20,602631
5/18/20,495954
5/17/20,589910
5/16/20,644507
5/15/20,593862
5/14/20,619855
5/13/20,686850
5/12/20,645065
5/11/20,571802
5/10/20,631542
5/9/20,670883
5/8/20,696092
5/7/20,671519
5/6/20,652289
5/5/20,651350
5/4/20,553075
5/3/20,578296
5/2/20,680654
5/1/20,687395
4/30/20,679872
4/29/20,644967
4/28/20,629817
4/27/20,499998
4/26/20,554934
4/25/20,641059
4/24/20,666919
4/23/20,574265
4/22/20,610555
4/21/20,619559
4/20/20,485888
4/19/20,562996
4/18/20,579437
4/17/20,635870
4/16/20,612959
4/15/20,583665
4/14/20,549230
4/13/20,437242
4/12/20,474445
4/11/20,550585
4/10/20,544185
4/9/20,554336
4/8/20,598670
4/7/20,557192
4/6/20,452282
4/5/20,479599
4/4/20,548300
4/3/20,569905
4/2/20,544088
4/1/20,546702
3/31/20,535787
3/30/20,428425
3/29/20,469113
3/28/20,529197
3/27/20,539881
3/26/20,456328
3/25/20,528586
3/24/20,509038
3/23/20,409829
3/22/20,469859
3/21/20,564748
3/20/20,525607
3/19/20,476482
3/18/20,540902
3/17/20,532450
3/16/20,413935
3/15/20,517382
3/14/20,567712
3/13/20,653156
3/12/20,528053
3/11/20,601526
3/10/20,606002
3/9/20,501571
3/8/20,526880
3/7/20,601698
3/6/20,603996
3/5/20,625096
3/4/20,593725
3/3/20,608032
3/2/20,505885
3/1/20,519628
2/29/20,611266
2/28/20,578398
2/27/20,588558
2/26/20,566484
2/25/20,558687
2/24/20,465169
2/23/20,525819
2/22/20,574950
2/21/20,563175
2/20/20,580124
2/19/20,569291
2/18/20,584197
2/17/20,474183
2/16/20,563001
2/15/20,564227
2/14/20,608036
2/13/20,612313
2/12/20,641161
2/11/20,526825
2/10/20,508254
2/9/20,529398
2/8/20,599280
2/7/20,552411
2/6/20,618126
2/5/20,555771
2/4/20,573277
2/3/20,501222
2/2/20,523782
2/1/20,572887
1/31/20,570253
1/30/20,573372
1/29/20,589168
1/28/20,504693
1/27/20,429535
1/26/20,461312
1/25/20,534403
1/24/20,535923
1/23/20,544484
1/22/20,544525
1/21/20,532773
1/20/20,477110
1/19/20,491063
1/18/20,562153
1/17/20,555072
1/16/20,580574
1/15/20,616194
1/14/20,501600
1/13/20,450668
1/12/20,509544
1/11/20,590633
1/10/20,553318
1/9/20,558689
1/8/20,576831
1/7/20,522665
1/6/20,459065
1/5/20,465366
1/4/20,523231
1/3/20,475461
1/2/20,389706
1/1/20,489182
12/31/19,544505
12/30/19,449701
12/29/19,490465
12/28/19,539658
12/27/19,476783
12/26/19,401735
12/25/19,493086
12/24/19,518639
12/23/19,432257
12/22/19,479841
12/21/19,476911
12/20/19,539310
12/19/19,560284
12/18/19,557300
12/17/19,549300
12/16/19,434034
12/15/19,475246
12/14/19,547987
12/13/19,531404
12/12/19,521113
12/11/19,548706
12/10/19,538820
12/9/19,434939
12/8/19,465570
12/7/19,534431
12/6/19,535061
12/5/19,569753
12/4/19,565368
12/3/19,552276
12/2/19,468193
12/1/19,493866
11/30/19,543960
11/29/19,533010
11/28/19,566552
11/27/19,576620
11/26/19,495578
11/25/19,436089
11/24/19,514757
11/23/19,607299
11/22/19,584765
11/21/19,525739
11/20/19,561226
11/19/19,510494
11/18/19,430853
11/17/19,495077
11/16/19,575887
11/15/19,535548
11/14/19,555616
11/13/19,501680
11/12/19,511673
11/11/19,435494
11/10/19,519291
11/9/19,541512
11/8/19,553447
11/7/19,559293
11/6/19,576664
11/5/19,549112
11/4/19,465534
11/3/19,472031
11/2/19,563151
11/1/19,504880
10/31/19,536888
10/30/19,527526
10/29/19,540579
10/28/19,438755
10/27/19,541095
10/26/19,570469
10/25/19,515253
10/24/19,544470
10/23/19,541300
10/22/19,545843
10/21/19,437713
10/20/19,486396
10/19/19,518606
10/18/19,528543
10/17/19,545056
10/16/19,533673
10/15/19,513254
10/14/19,417760
10/13/19,452069
10/12/19,547368
10/11/19,549668
10/10/19,524494
10/9/19,534935
10/8/19,538987
10/7/19,435006
10/6/19,480438
10/5/19,545609
10/4/19,525476
10/3/19,535484
10/2/19,573854
10/1/19,540376
9/30/19,435119
9/29/19,474974
9/28/19,532292
9/27/19,554702
9/26/19,571599
9/25/19,596954
9/24/19,544681
9/23/19,456990
9/22/19,493311
9/21/19,557003
9/20/19,552276
9/19/19,578686
9/18/19,567927
9/17/19,562077
9/16/19,422886
9/15/19,491282
9/14/19,546950
9/13/19,564060
9/12/19,556853
9/11/19,564563
9/10/19,536567
9/9/19,436798
9/8/19,472297
9/7/19,601748
9/6/19,550315
9/5/19,544449
9/4/19,595785
9/3/19,529944
9/2/19,423910
9/1/19,464447
8/31/19,543570
8/30/19,545362
8/29/19,526015
8/28/19,535379
8/27/19,539168
8/26/19,393555
8/25/19,452008
8/24/19,564675
8/23/19,609067
8/22/19,599152
8/21/19,558999
8/20/19,517545
8/19/19,407213
8/18/19,441149
8/17/19,533245
8/16/19,538837
8/15/19,554189
8/14/19,566410
8/13/19,459560
8/12/19,414832
8/11/19,453016
8/10/19,562840
8/9/19,568245
8/8/19,545941
8/7/19,617620
8/6/19,583599
8/5/19,421536
8/4/19,470981
8/3/19,581154
8/2/19,558918
8/1/19,573802
7/31/19,548807
7/30/19,521007
7/29/19,391947
7/28/19,445312
7/27/19,563023
7/26/19,568629
7/25/19,490408
7/24/19,531460
7/23/19,533399
7/22/19,400500
7/21/19,488968
7/20/19,566404
7/19/19,588257
7/18/19,569185
7/17/19,595749
7/16/19,585913
7/15/19,437636
7/14/19,472491
7/13/19,637928
7/12/19,598394
7/11/19,616784
7/10/19,623107
7/9/19,622449
7/8/19,447034
7/7/19,523872
7/6/19,617685
7/5/19,603018
7/4/19,651074
7/3/19,671396
7/2/19,624927
7/1/19,497075
6/30/19,573175
6/29/19,729817
6/28/19,694016
6/27/19,768792
6/26/19,682866
6/25/19,659329
6/24/19,596158
6/23/19,643642
6/22/19,654639
6/21/19,635532
6/20/19,664204
6/19/19,696937
6/18/19,628484
6/17/19,520293
6/16/19,601012
6/15/19,731367
6/14/19,667841
6/13/19,601949
6/12/19,623398
6/11/19,607094
6/10/19,438208
6/9/19,471819
6/8/19,619327
6/7/19,602273
6/6/19,631420
6/5/19,687738
6/4/19,550346
6/3/19,489569
6/2/19,578368
6/1/19,598627
5/31/19,642352
5/30/19,680323
5/29/19,685040
5/28/19,644814
5/27/19,476819
5/26/19,511153
5/25/19,644200
5/24/19,630228
5/23/19,646106
5/22/19,657474
5/21/19,617241
5/20/19,516859
5/19/19,588499
5/18/19,676115
5/17/19,682196
5/16/19,675925
5/15/19,669376
5/14/19,648734
5/13/19,551654
5/12/19,573741
5/11/19,618182
5/10/19,619054
5/9/19,635596
5/8/19,578857
5/7/19,573048
5/6/19,460613
5/5/19,508298
5/4/19,615404
5/3/19,584864
5/2/19,565408
5/1/19,604307
4/30/19,573010
4/29/19,445722
4/28/19,460846
4/27/19,593570
4/26/19,577184
4/25/19,645489
4/24/19,548492
4/23/19,498668
4/22/19,426630
4/21/19,456520
4/20/19,597098
4/19/19,563075
4/18/19,555678
4/17/19,560007
4/16/19,576183
4/15/19,430064
4/14/19,458376
4/13/19,578099
4/12/19,620631
4/11/19,593178
4/10/19,572096
4/9/19,579028
4/8/19,447559
4/7/19,478034
4/6/19,632546
4/5/19,603757
4/4/19,626468
4/3/19,666741
4/2/19,528288
4/1/19,459478
3/31/19,513840
3/30/19,563925
3/29/19,578059
3/28/19,569697
3/27/19,522961
3/26/19,530401
3/25/19,417726
3/24/19,450872
