Date,IEF close,shares traded
8/3/2015,106.6,2627739
8/4/2015,106.05,1035970
8/5/2015,105.64,1283304
8/6/2015,106.01,731689
8/7/2015,106.43,1533727
8/10/2015,105.99,1123860
8/11/2015,106.69,2263757
8/12/2015,106.65,1765673
8/13/2015,106.37,1626459
8/14/2015,106.26,612489
8/17/2015,106.45,905284
8/18/2015,106.28,690422
8/19/2015,106.93,1444456
8/20/2015,107.22,1933290
8/21/2015,107.65,2123585
8/24/2015,107.83,3074757
8/25/2015,107.24,2925477
8/26/2015,106.58,3512937
8/27/2015,106.52,1414053
8/28/2015,106.54,1998020
8/31/2015,106.36,5431550
9/1/2015,106.67,3749727
9/2/2015,106.38,2441745
9/3/2015,106.64,1791281
9/4/2015,106.97,1421259
9/8/2015,106.5,1583452
9/9/2015,106.54,1397242
9/10/2015,106.3,1601595
9/11/2015,106.58,1069031
9/14/2015,106.68,897453
9/15/2015,105.84,1902966
9/16/2015,105.81,1305302
9/17/2015,106.69,2394260
9/18/2015,107.19,2074189
9/21/2015,106.58,1591722
9/22/2015,107.11,1395531
9/23/2015,106.99,1364258
9/24/2015,107.15,1393007
9/25/2015,106.87,1563955
9/28/2015,107.48,1925986
9/29/2015,107.85,2460864
9/30/2015,107.87,2676042
10/1/2015,107.79,10101258
10/2/2015,108.31,3320214
10/5/2015,107.71,3034855
10/6/2015,107.93,2104009
10/7/2015,107.66,2337984
10/8/2015,107.38,2176753
10/9/2015,107.44,1069416
########,107.8,1336282
########,107.9,1849725
########,108.49,1359562
########,108.12,1075494
########,108.03,1772972
########,107.98,1744458
########,107.61,1134472
########,107.98,6576472
########,108.09,2411351
########,107.48,2029608
########,107.76,3131479
########,108.03,1373143
########,107.47,2058238
########,106.81,1772374
########,107.02,3424763
11/2/2015,106.55,5313463
11/3/2015,106.27,1941748
11/4/2015,106.16,1933175
11/5/2015,106.09,1554567
11/6/2015,105.37,2968599
11/9/2015,105.19,3223859
########,105.39,1467928
########,105.34,1638103
########,105.4,2399121
########,105.8,2665321
########,105.94,1412794
########,105.91,1180042
########,105.86,941502
########,106.09,1967208
########,105.95,1287915
########,106.09,1377063
########,106.19,1094521
########,106.25,752373
########,106.36,759634
########,106.4,2266947
12/1/2015,106.8,2805943
12/2/2015,106.5,1579083
12/3/2015,105.38,2750561
12/4/2015,105.77,2232462
12/7/2015,106.11,1954043
12/8/2015,106.17,1519925
12/9/2015,106.33,3711095
########,106.1,1545241
########,106.95,3353194
########,106.16,2204444
########,105.89,1591016
########,105.61,1911925
########,106.05,1202613
########,106.43,4396745
########,106.48,1603188
########,106.18,1411761
########,105.9365,1380840
########,105.97,654226
########,105.99,2198303
########,105.43,1752471
########,105.47,1358076
########,105.59,1906042
1/4/2016,106.04,6183691
1/5/2016,106.01,2122790
1/6/2016,106.65,1906133
1/7/2016,106.88,3105959
1/8/2016,107.15,1783361
1/11/2016,106.81,4816069
1/12/2016,107.29,8962479
1/13/2016,107.71,2664067
1/14/2016,107.49,2597273
1/15/2016,107.99,4334263
1/19/2016,107.85,4896453
1/20/2016,108.38,4949141
1/21/2016,108.11,2385705
1/22/2016,107.87,1735976
1/25/2016,108.23,1190886
1/26/2016,108.31,1288089
1/27/2016,108.39,1802330
1/28/2016,108.53,2222908
1/29/2016,109.11,3805520
2/1/2016,108.7,6812969
2/2/2016,109.47,4141629
2/3/2016,109.35,12145045
2/4/2016,109.61,2431129
2/5/2016,109.75,1440225
2/8/2016,110.57,2824825
2/9/2016,110.59,2679616
2/10/2016,110.92,2027201
2/11/2016,111.43,3743031
2/12/2016,110.58,3258702
2/16/2016,110.25,2816846
2/17/2016,109.98,4856453
2/18/2016,110.49,3125792
2/19/2016,110.49,1340004
2/22/2016,110.38,1012216
2/23/2016,110.6,2257761
2/24/2016,110.6,2947905
2/25/2016,110.93,1983585
2/26/2016,110.39,2957945
2/29/2016,110.57,3861617
3/1/2016,109.55,5901215
3/2/2016,109.36,3011187
3/3/2016,109.49,2092991
3/4/2016,109.12,1781243
3/7/2016,108.9,2349425
3/8/2016,109.53,1747706
3/9/2016,109.1,1537962
3/10/2016,108.71,2798658
3/11/2016,108.4,1785107
3/14/2016,108.48,2662203
3/15/2016,108.46,2960772
3/16/2016,109.03,2052518
3/17/2016,109.15,2745539
3/18/2016,109.34,2434715
3/21/2016,109.03,1725040
3/22/2016,108.8,1437662
3/23/2016,109.3,1405403
3/24/2016,109.19,1548217
3/28/2016,109.35,1291403
3/29/2016,110.09,2980968
3/30/2016,109.94,2808816
3/31/2016,110.34,3759192
