Date,SPY close,shares traded
8/3/2015,209.79,113965728
8/4/2015,209.38,81820823
8/5/2015,210.07,85786817
8/6/2015,208.35,116030803
8/7/2015,207.95,117857956
8/10/2015,210.57,80270676
8/11/2015,208.67,126081377
8/12/2015,208.92,172123672
8/13/2015,208.66,89383253
8/14/2015,209.42,72786528
8/17/2015,210.59,79072643
8/18/2015,209.98,71692678
8/19/2015,208.32,172945975
8/20/2015,203.97,194327884
8/21/2015,197.83,346588469
8/24/2015,189.5,507244333
8/25/2015,187.27,369833071
8/26/2015,194.46,339256986
8/27/2015,199.27,274143906
8/28/2015,199.28,160414352
8/31/2015,197.67,163298816
9/1/2015,191.77,256000392
9/2/2015,195.41,160269331
9/3/2015,195.55,152087836
9/4/2015,192.59,207080961
9/8/2015,197.43,116025739
9/9/2015,194.79,149347735
9/10/2015,195.85,158611063
9/11/2015,196.74,119691212
9/14/2015,196.01,79451983
9/15/2015,198.46,113806176
9/16/2015,200.18,99581557
9/17/2015,199.73,276046618
9/18/2015,195.45,223657456
9/21/2015,196.46,105726209
9/22/2015,193.91,153890876
9/23/2015,193.6,92790620
9/24/2015,192.9,159378840
9/25/2015,192.85,155054777
9/28/2015,188.01,178515871
9/29/2015,188.12,159045572
9/30/2015,191.63,163452044
10/1/2015,192.13,131078964
10/2/2015,195,211003342
10/5/2015,198.47,126320842
10/6/2015,197.79,110274530
10/7/2015,199.41,124307295
10/8/2015,201.21,153055231
10/9/2015,201.33,107069240
########,201.52,56395585
########,200.25,88038718
########,199.29,99106161
########,202.35,134142195
########,203.27,114580052
########,203.37,76523897
########,203.09,78448484
########,201.85,102038033
########,205.26,174911723
########,207.51,144442340
########,207,69032965
########,206.6,77905770
########,208.95,135906725
########,208.83,90525498
########,207.93,131076942
11/2/2015,210.39,86270811
11/3/2015,211,95246052
11/4/2015,210.36,96224477
11/5/2015,210.15,78408744
11/6/2015,210.04,110471473
11/9/2015,208.08,131008660
########,208.56,75874602
########,207.74,67845971
########,204.84,121315200
########,202.54,153577050
########,205.62,117645231
########,205.47,121123744
########,208.73,121342544
########,208.55,88220465
########,209.3108,94011519
########,209.07,64931172
########,209.35,98874365
########,209.32,51980062
########,209.56,37317779
########,208.69,112822700
12/1/2015,210.68,97858418
12/2/2015,208.529,108441259
12/3/2015,205.61,166224154
12/4/2015,209.62,192913879
12/7/2015,208.35,102027111
12/8/2015,206.949,103372367
12/9/2015,205.34,162401537
########,205.87,116128884
########,201.88,211173305
########,202.9008,182385177
########,205.0308,153067719
########,208.03,197017008
########,204.86,173092476
########,200.0208,251393535
########,201.67,99094290
########,203.5,111026246
########,206.02,110987228
########,205.68,48542150
########,205.21,65899939
########,207.4,92640672
########,205.93,63317679
########,203.87,114877859
1/4/2016,201.0192,222353534
1/5/2016,201.36,110845849
1/6/2016,198.82,152112604
1/7/2016,194.05,213436073
1/8/2016,191.923,209817228
1/11/2016,192.11,187941323
1/12/2016,193.6608,172330490
1/13/2016,188.83,221168886
1/14/2016,191.93,240795609
1/15/2016,187.81,324846447
1/19/2016,188.06,195244373
1/20/2016,185.65,286547839
1/21/2016,186.69,195772941
1/22/2016,190.52,168319598
1/25/2016,187.64,130371686
1/26/2016,190.2,141036757
1/27/2016,188.13,185681707
1/28/2016,189.11,143798780
1/29/2016,193.7208,210529336
2/1/2016,193.65,136061564
2/2/2016,190.16,182564890
2/3/2016,191.3,205054934
2/4/2016,191.6,139531794
2/5/2016,187.95,180788308
2/8/2016,185.42,191526694
2/9/2016,185.43,184513136
2/10/2016,185.27,148214057
2/11/2016,182.86,219058885
2/12/2016,186.63,127632393
2/16/2016,189.78,120250668
2/17/2016,192.88,136009496
2/18/2016,192.09,102342997
2/19/2016,192,114792988
2/22/2016,194.78,103640292
2/23/2016,192.32,111455289
2/24/2016,193.2,150812152
2/25/2016,195.54,110728317
2/26/2016,195.0892,129833663
2/29/2016,193.56,125918102
3/1/2016,198.11,141799687
3/2/2016,199,102414960
3/3/2016,199.775,95172197
3/4/2016,200.43,129293601
3/7/2016,200.59,100218998
3/8/2016,198.4,123974866
3/9/2016,199.38,94801213
3/10/2016,199.54,156838697
3/11/2016,202.76,137964528
3/14/2016,202.5,73611974
3/15/2016,202.17,93169090
3/16/2016,203.34,129303179
3/17/2016,204.63,134278505
3/18/2016,204.38,138372404
3/21/2016,204.67,72926659
3/22/2016,204.56,97471939
3/23/2016,203.2092,81052455
3/24/2016,203.12,84360853
3/28/2016,203.24,62408185
3/29/2016,205.1208,92922863
3/30/2016,206.02,86365310
3/31/2016,205.52,94584110
4/1/2016,206.92,114423478
4/4/2016,206.25,63496969
4/5/2016,204.1892,99662158
4/6/2016,206.42,91839761
4/7/2016,203.95,113859037
4/8/2016,204.4992,95040598
4/11/2016,204.0201,83757486
4/12/2016,205.92,115350567
4/13/2016,208.0008,96336433
4/14/2016,208.01,65212883
4/15/2016,207.78,75761615
4/18/2016,209.2392,82530960
4/19/2016,209.9,88316060
4/20/2016,210.1,81100314
4/21/2016,208.97,85695041
4/22/2016,208.97,99251724
4/25/2016,208.61,66166494
4/26/2016,208.9192,75864174
4/27/2016,209.35,77329437
4/28/2016,207.4475,97216169
4/29/2016,206.3308,142424137
5/2/2016,207.97,62188015
5/3/2016,206.1592,106422142
5/4/2016,205.01,92243810
5/5/2016,204.97,67619222
5/6/2016,205.72,89315004
5/9/2016,205.8892,74374922
5/10/2016,208.45,77472207
5/11/2016,206.5,81726989
5/12/2016,206.56,89586308
5/13/2016,204.76,96474630
5/16/2016,206.78,77486827
5/17/2016,204.8508,114924940
5/18/2016,204.91,123493379
5/19/2016,204.2,115430507
5/20/2016,205.49,104990408
5/23/2016,205.21,58682576
5/24/2016,207.87,93537808
5/25/2016,209.28,79221525
5/26/2016,209.34,55280699
5/27/2016,210.24,64211214
5/31/2016,209.84,109879380
6/1/2016,210.27,69936215
6/2/2016,210.91,63044749
6/3/2016,210.28,101757126
6/6/2016,211.35,64887045
6/7/2016,211.68,60974761
6/8/2016,212.37,66170920
6/9/2016,212.08,73786869
6/10/2016,210.07,113829158
6/13/2016,208.4492,117751153
6/14/2016,208.04,125059286
6/15/2016,207.75,109124496
6/16/2016,208.37,149533065
6/17/2016,206.52,117055748
6/20/2016,207.85,82789603
6/21/2016,208.44,72461663
6/22/2016,208.1,95560471
6/23/2016,210.81,102731356
6/24/2016,203.13,333444397
6/27/2016,199.6,248988660
6/28/2016,203.1997,159382399
6/29/2016,206.66,137328614
6/30/2016,209.475,165021948
7/1/2016,209.9208,106055333
7/5/2016,208.41,109803713
7/6/2016,209.66,96021491
7/7/2016,209.526,85521425
7/8/2016,212.65,133970972
7/11/2016,213.4,73633937
7/12/2016,214.95,101275629
7/13/2016,214.92,87324129
7/14/2016,216.12,91230870
7/15/2016,215.83,107155401
7/18/2016,216.4092,58725918
7/19/2016,216.19,54345728
7/20/2016,217.085,58159457
7/21/2016,216.265,67777310
7/22/2016,217.24,62787477
7/25/2016,216.65,55873147
7/26/2016,216.75,70080493
7/27/2016,216.52,84083893
7/28/2016,216.77,65035718
7/29/2016,217.12,79519436
8/1/2016,216.94,73311422
8/2/2016,215.5492,92295506
8/3/2016,216.18,53993626
8/4/2016,216.4097,46585528
8/5/2016,218.18,71892161
8/8/2016,218.05,39906479
8/9/2016,218.18,51251728
8/10/2016,217.64,57941092
8/11/2016,218.65,72504270
8/12/2016,218.46,61313544
8/15/2016,219.09,49813482
8/16/2016,217.96,53213621
8/17/2016,218.37,75134339
8/18/2016,218.86,52989266
8/19/2016,218.54,75443004
8/22/2016,218.53,61368766
8/23/2016,218.97,53399159
8/24/2016,217.85,71728949
8/25/2016,217.7,69224776
8/26/2016,217.29,122506348
8/29/2016,218.3608,70502167
8/30/2016,218,58114543
8/31/2016,217.38,85269453
9/1/2016,217.39,97844207
9/2/2016,218.37,79293856
9/6/2016,219.0308,56702089
9/7/2016,219.01,76554855
9/8/2016,218.51,74102880
9/9/2016,213.28,221589073
9/12/2016,216.34,168110913
9/13/2016,213.23,182828839
9/14/2016,213.15,134185491
9/15/2016,215.28,145736123
9/16/2016,213.37,155236354
9/19/2016,213.41,80250490
9/20/2016,213.42,69665279
9/21/2016,215.82,110284425
9/22/2016,217.18,76678713
9/23/2016,215.99,73630921
9/26/2016,214.24,89827305
9/27/2016,215.57,78494829
9/28/2016,216.64,87411015
9/29/2016,214.68,128070615
9/30/2016,216.3,117202914
10/3/2016,215.78,83512057
10/4/2016,214.68,119948052
10/5/2016,215.63,72815963
10/6/2016,215.78,62927376
10/7/2016,215.04,89788255
########,216.16,51855023
########,213.43,130367373
########,213.71,73866117
########,213.01,101356960
########,213.12,93346237
########,212.38,58275674
########,213.71,76869656
########,214.28,66519224
########,213.88,73639830
########,213.98,89089092
########,214.89,60146592
########,214.17,66542329
########,213.74,75705478
########,213.17,77220213
########,212.54,140623183
########,212.55,61272507
11/1/2016,211.01,122781818
11/2/2016,209.74,103330806
11/3/2016,208.78,88939346
11/4/2016,208.55,109122059
11/7/2016,213.15,109794861
11/8/2016,214.11,106772138
11/9/2016,216.3792,258428972
########,216.92,172113313
########,216.42,100552732
########,216.59,94579982
########,218.28,91652580
########,217.87,65617697
########,218.99,69797191
########,218.5,86265751
########,220.15,72402638
########,220.58,67428957
########,220.7,56620237
########,221.52,37872255
########,220.48,76572511
########,220.91,69886690
########,220.38,113291793
12/1/2016,219.57,79040487
12/2/2016,219.68,74840347
12/5/2016,221,67837821
12/6/2016,221.7,59877377
12/7/2016,224.6,110738050
12/8/2016,225.15,99714387
12/9/2016,226.51,88005766
########,226.25,102016125
########,227.76,110477485
########,225.88,142501812
########,226.81,124972554
########,225.04,156420152
########,225.53,90341147
########,226.4,89838810
########,225.77,67909039
########,225.38,56219071
########,225.71,36697822
########,226.27,42672487
########,224.4,64095014
########,224.35,48696080
########,223.53,108998328
1/3/2017,225.24,91366522
1/4/2017,226.58,78744433
1/5/2017,226.4,78379012
1/6/2017,227.21,71559922
1/9/2017,226.46,46939676
1/10/2017,226.46,63771939
1/11/2017,227.1,74650016
1/12/2017,226.53,72113181
1/13/2017,227.05,62717865
1/17/2017,226.25,61240814
1/18/2017,226.75,54793302
1/19/2017,225.91,66608787
1/20/2017,226.74,129168623
1/23/2017,226.15,75061645
1/24/2017,227.6,95555295
1/25/2017,229.57,84437712
1/26/2017,229.33,59970719
1/27/2017,228.97,59711118
1/30/2017,227.55,79737252
1/31/2017,227.53,75880805
2/1/2017,227.62,79117651
2/2/2017,227.77,69657560
2/3/2017,229.34,80563168
2/6/2017,228.93,57790108
2/7/2017,228.94,57931151
2/8/2017,229.24,51566218
2/9/2017,230.6,65955245
2/10/2017,231.51,66015892
2/13/2017,232.77,55182050
2/14/2017,233.7,71108983
2/15/2017,234.92,86785826
2/16/2017,234.72,84722437
2/17/2017,235.09,77204104
2/21/2017,236.49,88946051
2/22/2017,236.28,62115185
2/23/2017,236.44,74615902
2/24/2017,236.74,82381612
2/27/2017,237.11,56515440
2/28/2017,236.47,96961938
3/1/2017,239.78,149158170
3/2/2017,238.27,70245978
3/3/2017,238.42,81974300
3/6/2017,237.71,55391533
3/7/2017,237,65103737
3/8/2017,236.56,78168795
3/9/2017,236.86,90683918
3/10/2017,237.69,81991652
3/13/2017,237.81,57256824
3/14/2017,236.9,59880778
3/15/2017,238.95,96081750
3/16/2017,238.48,78343951
3/17/2017,237.03,89002111
3/20/2017,236.77,52536979
3/21/2017,233.73,131809275
3/22/2017,234.28,97569204
3/23/2017,234.03,100410277
3/24/2017,233.86,112504853
3/27/2017,233.62,87454452
3/28/2017,235.32,93483915
3/29/2017,235.54,61950354
3/30/2017,236.29,56737890
